Type,PROVIDER NAME,StartDateTime,DateCreated,ID,ExternalID,FareAmount,GratuityAmount,SurchargeAmount,ExtraFareAmount,TollAmount,TotalAmount,PaymentType,StartDateTime,EndDateTime,OriginStreetNumber,OriginStreetName,OriginCity,OriginState,OriginZip,OriginLatitude,OriginLongitude,DestinationStreetNumber,DestinationStreetName,DestinationCity,DestinationState,DestinationZip,DestinationLatitude,DestinationLongitude,Milage,Duration
1,UVC,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:11:41.9333333 +00:00,B764__75973__2017-01-01T00:11:41.933_26359344,26359344,0,0,0.25,-0.25,0,0,2,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:05:00.0000000 +00:00,NULL,3430 Connecticut Ave Nw,Washington,DC,20008,38.93532,-77.05854,NULL,3430 Connecticut Ave Nw,Washington,DC,20008,38.93532,-77.05854,0,1
1,UVC,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:11:42.0800000 +00:00,M006__80690__2017-01-01T00:11:42.080_26359345,26359345,3.79,0,0.25,1,0,5.04,2,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:06:00.0000000 +00:00,NULL,1325-1327 Connecticut Ave NW,Washington,DC,20036,38.90802,-77.04234,NULL,1500 NEW HAMPSHIRE AVE NW,Washington,DC,20036,38.91058,-77.04263,0.2,2
1,UVC,2017-01-01 00:07:00.0000000 +00:00,2017-01-01 00:11:42.1800000 +00:00,F982__73416__2017-01-01T00:11:42.180_26359346,26359346,3.52,0,0.25,0,0,3.77,2,2017-01-01 00:07:00.0000000 +00:00,2017-01-01 00:08:00.0000000 +00:00,NULL,1201-1217 18TH ST NW,Washington,DC,20036,38.90597,-77.04158,NULL,1201-1217 18TH ST NW,Washington,DC,20036,38.90597,-77.04158,0,1
1,UVC,2017-01-01 00:07:00.0000000 +00:00,2017-01-01 00:11:42.3066667 +00:00,B911__76635__2017-01-01T00:11:42.307_26359347,26359347,4.87,3,0.25,0,0,8.12,1,2017-01-01 00:07:00.0000000 +00:00,2017-01-01 00:09:00.0000000 +00:00,NULL,2624 CONNECTICUT AVE NW,Washington,DC,20008,38.92449,-77.05211,NULL,3217 CONNECTICUT AVE NW,Washington,DC,20008,38.93312,-77.05697,0.6,2
1,UVC,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:11:42.4033333 +00:00,E446__76586__2017-01-01T00:11:42.403_26359348,26359348,6.76,0,0.25,0,0,7.01,2,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:09:00.0000000 +00:00,NULL,321 Galloway St Ne,Washington,DC,20011,38.95245,-77.00293,NULL,5600-5684 PARKER HOUSE TERRACE,Chillum,MD,20782,38.95955,-76.99135,1.3,5
1,UVC,2017-01-01 00:00:00.0000000 +00:00,2017-01-01 00:11:42.5733333 +00:00,F784__65359__2017-01-01T00:11:42.573_26359349,26359349,8.11,3,0.25,0,0,11.36,1,2017-01-01 00:00:00.0000000 +00:00,2017-01-01 00:10:00.0000000 +00:00,NULL,515 15th St Nw,Washington,DC,20004,38.89717,-77.03354,NULL,1100-1106 New Hampshire Ave NW,Washington,DC,20037,38.90379,-77.04896,1.3,10
1,UVC,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:11:42.6800000 +00:00,B710__80263__2017-01-01T00:11:42.680_26359350,26359350,4.33,0,0.25,1,0,5.58,2,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:10:00.0000000 +00:00,NULL,2006 13th St Nw,Washington,DC,20009,38.9173,-77.02978,NULL,1301-1345 U St NW,Washington,DC,20009,38.91705,-77.03057,0,2
1,UVC,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:11:42.7833333 +00:00,B644__91094__2017-01-01T00:11:42.783_26359351,26359351,5.95,0,0.25,1,0,7.2,2,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:10:00.0000000 +00:00,NULL,1216 Connecticut Ave Nw,Washington,DC,20036,38.90612,-77.04143,NULL,BATAAN ST NW,Washington,DC,20036,38.90715,-77.03762,0.5,6
1,UVC,2017-01-01 00:02:00.0000000 +00:00,2017-01-01 00:11:42.9466667 +00:00,D066__74026__2017-01-01T00:11:42.947_26359352,26359352,7.3,0,0.25,0,0,7.55,2,2017-01-01 00:02:00.0000000 +00:00,2017-01-01 00:10:00.0000000 +00:00,NULL,999 E St Nw,Washington,DC,20004,38.89614,-77.02576,NULL,1301 9th St Nw,Washington,DC,20001,38.9075,-77.02388,1.2,8
1,UVC,2017-01-01 00:06:00.0000000 +00:00,2017-01-01 00:17:45.2600000 +00:00,K252__70780__2017-01-01T00:17:45.260_26359353,26359353,7.57,3,0.25,1,0,11.82,1,2017-01-01 00:06:00.0000000 +00:00,2017-01-01 00:12:00.0000000 +00:00,NULL,147-149 Rhode Island Ave NW,Washington,DC,20001,38.91519,-77.01383,NULL,829 3RD ST NE,Washington,DC,20002,38.90079,-77.00195,1.8,6
